,href formula,href
0,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.11-Goff.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.11-Goff.pdf
1,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.10.b-Flinders.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.10.b-Flinders.pdf
2,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.10.a-Brock.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.10.a-Brock.pdf
3,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.07.R-Thomson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.07.R-Thomson.pdf
4,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.04-Simpson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.04-Simpson.pdf
5,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.02-Johnson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.02-Johnson.pdf
6,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.05.30-Higgins.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.05.30-Higgins.pdf
7,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.05.28-Jordan.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.05.28-Jordan.pdf
8,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.05.27-Selwood.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/http://sharkattackfile.net/spreadsheets/pdf_directory/2017.05.27-Selwood.pdf
9,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.05.12-Beloushi.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.05.12-Beloushi.pdf
10,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.05.06.R-Neille.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.05.06.R-Neille.pdf
11,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.05.06-Rozada.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.05.06-Rozada.pdf
12,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.05.03-Raab.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.05.03-Raab.pdf
13,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.29.d-Ericson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.29.d-Ericson.pdf
14,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.29.c-Plett.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.29.c-Plett.pdf
15,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.29.b-Dyar.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.29.b-Dyar.pdf
16,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.29.a-Dubosc.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.29.a-Dubosc.pdf
17,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.27-NZ.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.27-NZ.pdf
18,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.05.26-Cavelli.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.05.26-Cavelli.pdf
19,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.22-Gonsalves.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.22-Gonsalves.pdf
20,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.20-PawleysIsland.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.20-PawleysIsland.pdf
21,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.17.b-Volusia.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.17.b-Volusia.pdf
22,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.17.a Brouwer.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.17.a Brouwer.pdf
23,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.14-Baboo.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.14-Baboo.pdf
24,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.13-Perry.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.13-Perry.pdf
25,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.12.b-Keyton.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.12.b-Keyton.pdf
26,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.12.a-Protea.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.12.a-Protea.pdf
27,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.11-Oosterveld.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.11-Oosterveld.pdf
28,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.10.b-Melbourne.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.10.b-Melbourne.pdf
29,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.10.a-Orr.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.10.a-Orr.pdf
30,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.07-Stephens.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.07-Stephens.pdf
31,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.05-NSB.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.05-NSB.pdf
32,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.02.b-Kleiden.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.02.b-Kleiden.pdf
33,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.02.a-Taylor.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.02.a-Taylor.pdf
34,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.03.27-NSB.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.03.27-NSB.pdf
35,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.03.19-Fernandez.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/http://sharkattackfile.net/spreadsheets/pdf_directory/2017.03.19-Fernandez.pdf
36,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.03.18-Correira.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.03.18-Correira.pdf
37,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.03.09-Keywood.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.03.09-Keywood.pdf
38,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.02.25-WesternAustralia.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.02.25-WesternAustralia.pdf
39,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.02.24-Mandurah,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.02.24-Mandurah
40,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.02.21-Reunion.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.02.21-Reunion.pdf
41,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.02.17-Dickson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.02.17-Dickson.pdf
42,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.02.11-MelbourneBeach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.02.11-MelbourneBeach.pdf
43,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.02.06.b-Brazil.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.02.06.b-Brazil.pdf
44,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.02.06.a-Umhlanga-kayak.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.02.06.a-Umhlanga-kayak.pdf
45,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.02.01.b-Boat.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.02.01.b-Boat.pdf
46,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.02.01.a-Vonk.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.02.01.a-Vonk.pdf
47,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.01.22-VeroBeach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.01.22-VeroBeach.pdf
48,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.01.21-MurrayIsland.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.01.21-MurrayIsland.pdf
49,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.01.13.b-Clairview.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.01.13.b-Clairview.pdf
50,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.01.13.a-JensenBeach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.01.13.a-JensenBeach.pdf
51,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.01.09-Moore.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.01.09-Moore.pdf
52,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.01.08.R-KerryDaniel.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.01.08.R-KerryDaniel.pdf
53,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.01.05-Brevard.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.01.05-Brevard.pdf
54,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.01.03-Collins.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.01.03-Collins.pdf
